word,count
'span',39
'tremendous',39
'noted',39
'longer',38
'buildings',38
'tracking',38
'name',38
'monday',38
'oak',38
'unidentifiable',38
'edt',38
'opened',38
'nonblinking',38
'8pm',38
'wooded',38
'boise',38
'hole',38
'whiteblue',38
'basketball',38
'pine',38
'upstate',38
'church',38
'wednesday',38
'eggshaped',38
'beside',38
'indian',38
'baseball',38
'recorded',38
'reflected',38
'gas',38
'file',38
'reason',38
'original',38
'app',38
'germany',38
'naval',37
'eastbound',37
'madison',37
'emits',37
'jackson',37
'clusters',37
'happen',37
'salem',37
'airline',37
'suburbs',37
'array',37
'ri',37
'aerial',37
'wsw',37
'pulsed',37
'tandem',37
'illumination',37
'positions',37
'adult',37
'lax',37
'1500',37
'diamondshaped',37
'wanted',37
'calif',37
'fluorescent',37
'hampshire',37
'posted',37
'ac',37
'visable',37
'ski',37
'should',37
'jumping',37
'bursts',37
'brothers',37
'charleston',36
'pointing',36
'security',36
'sf',36
'sometime',36
'glanced',36
'blocks',36
'330',36
'multicolor',36
'shinny',36
'cleveland',36
'pond',36
'community',36
'1966',36
'dozens',36
'1996',36
'vermont',36
'pick',36
'lincoln',36
'present',36
'plain',36
'feeling',36
'orangeamber',36
'moments',36
'experienced',36
'omaha',36
'pursued',36
'wedge',36
'arrived',36
'x',36
'auburn',36
'cincinnati',35
'saint',35
'suburban',35
'rays',35
'rain',35
'130',35
'630',35
'ready',35
'davenport',35
'scanning',35
'caused',35
'delaware',35
'i80',35
'deer',35
'albany',35
'pics',35
'find',35
'visiting',35
'disapear',35
'return',35
'northward',35
'thousands',35
'prior',35
'india',35
'dance',35
'baltimore',35
'pulling',35
'narrow',35
'appeard',35
'heat',35
'911',35
'franklin',34
'showing',34
'disappered',34
'57',34
'hoovered',34
'crashed',34
'driver',34
'faa',34
'defined',34
'scottsdale',34
'180',34
'quarter',34
'overflight',34
'cruz',34
'confirmed',34
'rest',34
'wnw',34
'del',34
'unmoving',34
'1977',34
'des',34
'ut',34
'oakland',34
'shopping',34
'detroit',34
'inverted',34
'flourescent',34
'parkway',34
'rod',34
'sons',34
'shiney',34
'searching',34
'redgreen',34
'office',34
'manchester',34
'observers',34
'village',34
'kinda',33
'bight',33
'independently',33
'areas',33
'minneapolis',33
'tips',33
'detail',33
'daughters',33
'pin',33
'scotland',33
'enjoying',33
'radiating',33
'particular',33
'alberta',33
'cube',33
'peak',33
'climbing',33
'feel',33
'amberorange',33
'beyond',33
'immense',33
'interesting',33
'technology',33
'none',33
'530',33
'1974',33
'semi',33
'2100',33
'including',33
'2130',33
'vandenberg',33
'mist',33
'background',33
'nasa',33
'repeated',33
'glides',33
'outage',33
'described',33
'strait',33
'climbed',33
'dissappearing',33
'lanterns',33
'1979',32
'members',32
'soundlessly',32
'1995',32
'stadium',32
'ended',32
'paths',32
'stand',32
'barbara',32
'triangularshaped',32
'george',32
'decended',32
'constantly',32
'mirror',32
'wingless',32
'block',32
'rockford',32
'certain',32
'wonder',32
'51',32
'glance',32
'abducted',32
'louisville',32
'1967',32
'thunder',32
'ene',32
'zipping',32
'memphis',32
'wyoming',32
'downwards',32
'portion',32
'indianapolis',32
'rolling',32
'di',32
'2055',32
'sent',31
'becoming',31
'fernando',31
'private',31
'bunch',31
'band',31
'spun',31
'manuevers',31
'creature',31
'huntington',31
'avenue',31
'obect',31
'remote',31
'describe',31
'fighters',31
'loose',31
'triange',31
'midday',31
'fr',31
'visual',31
'beings',31
'600',31
'yds',31
'tacoma',31
'exploding',31
'shap',31
'videotaped',31
'unlit',31
'racing',31
'screen',31
'motions',31
'shows',31
'hollywood',31
'16th',31
'11pm',31
'classic',31
'usually',31
'wave',31
'reading',31
'twilight',31
'orangeish',31
'triangler',31
'growing',31
'beacon',31
'hello',31
'photograph',31
'somewhere',31
